"NIT","Razón social de la sociedad","Fecha de Corte","Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU)","Tipo societario","Dirección de notificación judicial registrada en Cámara de Comercio","Departamento de la dirección del domicilio","Ciudad de la dirección del domicilio","Ingresos de actividades ordinarias","Costo de ventas","Ganancia bruta","Otros ingresos","Gastos de ventas","Gastos de administración","Otros gastos","Ganancia (pérdida) por actividades de operación","Costos financieros","Ganancia (pérdida), antes de impuestos","Ingreso (gasto) por impuestos","Ganancia (pérdida) procedente de operaciones continuadas","Ganancia (pérdida)","Ganancia (pérdida), atribuible a los propietarios de la controladora","Efectivo y equivalentes al efectivo","Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes","Inventarios corrientes","Activos por impuestos corrientes, corriente","Otros activos financieros corrientes","Otros activos no financieros corrientes","Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios","Activos corrientes totales","Propiedades, planta y equipo","Activos intangibles distintos de la plusvalía","Activos por impuestos diferidos","Otros activos financieros no corrientes","Total de activos no corrientes","Total de activos","Provisiones corrientes por beneficios a los empleados","Otras provisiones corrientes","Total provisiones corrientes","Cuentas por pagar comerciales y otras cuentas por pagar","Pasivos por impuestos corrientes, corriente","Otros pasivos financieros corrientes","Otros pasivos no financieros corrientes","Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta","Pasivos corrientes totales","Total de pasivos no corrientes","Total pasivos","Capital emitido","Otras reservas","Ganancias acumuladas","Total patrimonio atribuible a propietarios de la controladora","Patrimonio total","Total de patrimonio y pasivos","Capital de trabajo","Indice de insolvencia","Prueba ácida","Liquidez general","Leverage","Endeudamiento sobre activos","Concentración endeudamiento corto plazo","Concentración endeudamiento largo plazo","Rotación de cartera","Rotación proveedores","Proceso","Insolvencia"
"830027231","ROCSA COLOMBIA S.A","2020-06-30","G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario","01. SOCIEDAD ANÓNIMA","PARQ IND LOGIKA II AUTOP MEDELLIN COSTADO SUR KM 5.7 BG 1","CUNDINAMARCA","TENJO-CUNDINAMARCA","158495904","126280025","32215879","","9249894","8742067","111381","14112537","10055536","4057001","2380869","1676132","1676132","","34799050","64437000","59523696","5443960","6995503","","171199209","171199209","18137138","47961133","","5880606","72978590","244177799","","","","45675851","504683","105181984","1318682","152681200","152681200","42227309","194908509","4708570","3043288","9503038","49269289","49269290","244177799","18518009","1.1212854562317","0.73142936392955","1.1384895417361","3.9559837172405","0.79822371156683","0.78334804767297","0.21665195232703","146.3591134822","103.74593882249","Sin proceso","No"
"830027231","ROCSA COLOMBIA S.A","2020-06-30","G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario","01. SOCIEDAD ANÓNIMA","PARQ IND LOGIKA II AUTOP MEDELLIN COSTADO SUR KM 5.7 BG 1","CUNDINAMARCA","TENJO-CUNDINAMARCA","150805922","126113976","24691946","411486","9816075","8509639","195465","7055898","2745175","4310723","1341463","2969260","2969260","","16307111","61715620","77747650","4361496","9345717","","169477594","169477594","11336943","49326105","","5880606","67524407","237002001","","","","78011766","1125567","71844450","1355329","152337112","152337112","33908940","186246052","4708570","3043288","11137307","50755948","50755949","237002001","17140482","1.1125167844852","0.60215099784746","1.0989420347801","3.669442807581","0.78584168578391","0.81793471788599","0.18206528211401","147.32593326143","186.22767188148","Sin proceso","No"
"800161734","BT LATAM HOLDINGS ( COLOMBIA ) SOCIEDAD ANONIMA","2020-12-31","J6110 - Actividades de telecomunicaciones alámbricas","01. SOCIEDAD ANÓNIMA","Calle 113 # 7-21 Torre A Of 1112","BOGOTA D.C.","BOGOTA D.C.","83939493","67509189","16430304","3186576","","15504913","277196","3834771","3064287","770484","561344","209140","209140","190817","2470168","31641980","0","","2044848","8782388","44939384","44939384","90834831","","5622291","","96457122","141396506","1654117","14055383","15709500","9642340","","410214","2900066","28662120","28662120","68311438","96973558","7079737","2175952","-11158822","40761590","44422948","141396506","16277264","1.5679016067199","1.5679016067199","2.1578746606763","2.1829608876926","0.68582711654841","0.29556634397183","0.70443365602817","135.70623782538","41.354102531927","Sin proceso","No"
"800161734","BT LATAM HOLDINGS ( COLOMBIA ) SOCIEDAD ANONIMA","2020-12-31","J6110 - Actividades de telecomunicaciones alámbricas","01. SOCIEDAD ANÓNIMA","Calle 113 # 7-21 Torre A Of 1112","BOGOTA D.C.","BOGOTA D.C.","110235374","87826267","22409107","2925984","","13606543","316236","11412312","5259060","6153252","2166684","3986568","3986568","2629476","7005653","34615886","0","","1456114","5918502","48996155","48996155","67141581","","4408708","","71550289","120546444","3091522","10682669","13774191","13400030","","475771","3564558","31214550","31214550","42629745","73844295","7079737","2175952","-11349639","40570773","46702149","120546444","17781605","1.5696575795583","1.5696575795583","1.5071446932928","1.5811755257772","0.61257962117904","0.42270767159467","0.57729232840533","113.04646147434","43.761005428258","Sin proceso","No"
"830004993","CASA TORO AUTOMOTRIZ S.A.","2020-12-31","G4511 - Comercio de vehículos automotores nuevos","01. SOCIEDAD ANÓNIMA","CRA 72 170 97","BOGOTA D.C.","BOGOTA D.C.","802781725","673271503","129510222","10538872","106093455","8247511","","25708128","19649071","29456731","1587027","27869704","27869704","27869704","35581134","74175717","165108202","8905096","","26349476","310119625","310119625","71485600","","2277264","230515211","306102941","616222566","","","","35697903","","71474084","40119911","147291898","147291898","173704617","320996515","6720000","6604934","27869704","292329263","295226051","616222566","162827727","2.1054764668726","0.98451730861666","1.0350732076372","1.0872906165046","0.52091002944543","0.45885824648283","0.54114175351717","33.263410574026","16.008392667384","Sin proceso","No"
"830004993","CASA TORO AUTOMOTRIZ S.A.","2020-12-31","G4511 - Comercio de vehículos automotores nuevos","01. SOCIEDAD ANÓNIMA","CRA 72 170 97","BOGOTA D.C.","BOGOTA D.C.","914329996","770388150","143941846","10618263","120816047","9129533","2709141","21905388","19727455","28797196","1298739","27498457","27498457","27498457","15524243","112340503","162260202","12526371","","35738475","338389794","338389794","32424990","","1336996","207477081","278739179","617128973","","","","70776091","","86816787","38333740","195926618","195926618","167539452","363466070","6720000","4364133","27498457","253662903","253662903","617128973","142463176","1.7271251729563","0.89895693498879","1.0741047054156","1.4328704185807","0.58896290062855","0.53905064095804","0.46094935904196","44.231930765618","27.866736158134","Sin proceso","No"
"809002625","INTERNACIONAL DE ELECTRICOS S.A.S.","2020-12-31","G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados","08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS","CALLE 24 N. 4A 26 BRR EL CARMEN","TOLIMA","IBAGUE-TOLIMA","164749365","131402410","33346955","3793200","627203","24238550","1587743","10686659","3732655","8891157","2779714","6111443","6111443","6111443","277404","21461599","26989649","1367866","38806949","2139588","91043055","91073702","13547628","375144","55505","156090","18255177","109328879","2152952","","2152952","21621681","855811","17160314","2924496","44715254","44715254","8901320","53616574","3000080","8053799","34336412","55712305","55712305","109328879","46358448","2.0367479518287","1.4331586487242","0.58871631242134","0.96238297805126","0.49041547384749","0.83398193252706","0.16601806747294","46.89654275754","47.246343923693","Sin proceso","No"
"809002625","INTERNACIONAL DE ELECTRICOS S.A.S.","2020-12-31","G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados","08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS","CALLE 24 N. 4A 26 BRR EL CARMEN","TOLIMA","IBAGUE-TOLIMA","170057244","139225519","30831725","5067917","1077305","26297956","791755","7732626","3834709","6426035","2171298","4254737","4254737","4254737","664102","26212863","20835911","2498534","31928477","7779495","89919382","90291516","13542401","717276","123077","156092","18559826","108851342","2262839","","2262839","15173336","2245817","20368327","6028679","46078998","46078998","6730778","52809776","3000080","8053799","34813647","56041566","56041566","108851342","44212518","1.9594939108702","1.5073158708876","0.58488082091788","0.94233226815967","0.48515502914057","0.8725467421032","0.1274532578968","55.490906814884","32.1209542829","Reorganización","Si"
"830513773","APPLUS NORCONTROL COLOMBIA LIMITADA","2020-12-31","M7020 - Actividades de consultaría de gestión","03. SOCIEDAD LIMITADA","CL 17 69 46","BOGOTA D.C.","BOGOTA D.C.","175849558","150793418","25056140","","","18713343","","6342797","3805080","4089393","4306353","-216960","-216960","-216960","7266011","68660145","50276","17583332","2274911","3339013","99173688","99173688","12117059","447846","2114711","328215","15799397","114973085","6120287","","6120287","28951527","7170366","204128","5161776","47608084","47608084","6471124","54079208","33005706","5065357","17803122","60893877","60893877","114973085","51565604","2.0831270588415","2.0820710197033","0.54529794233325","0.88808942153576","0.47036406825128","0.88033988959306","0.11966011040694","140.56135529212","59.269695292609","Reorganización","Si"
"830513773","APPLUS NORCONTROL COLOMBIA LIMITADA","2020-12-31","M7020 - Actividades de consultaría de gestión","03. SOCIEDAD LIMITADA","CL 17 69 46","BOGOTA D.C.","BOGOTA D.C.","174555335","139425285","35130050","","","19750007","","15380043","3541565","11933660","497327","11436333","11436333","11436333","14446544","63549515","80099","18021310","1119617","2305535","99522620","99522620","12855646","714917","3647555","354018","18363702","117886322","6982201","","6982201","23723558","7049417","6952050","4855420","49562646","49562646","6669592","56232238","33307307","4400399","18926686","61654084","61654084","117886322","49959974","2.0080166825637","2.0064005662652","0.56501967090497","0.91206022945698","0.47700392247372","0.8813920228464","0.1186079771536","131.0634556085","48.92706877163","Sin proceso","No"
